Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,265000.0,2.9375,2.194687517152892E-9,265000.0,93.93169811320755,93.93169811320755,-412.1337579617844,0.0,?,?,?,265000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,270000.0,3.0,2.2413829962412513E-9,270000.0,93.95518518518519,93.95518518518519,-411.95106649937384,0.0,?,?,?,270000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,275000.0,3.0625,2.2880784753296105E-9,275000.0,93.96945454545454,93.96945454545454,-402.2410660205924,0.0,?,?,?,275000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,280000.0,3.109375,2.32310008464588E-9,280000.0,94.02321428571429,94.02321428571429,-398.0654761904758,0.0,?,?,?,280000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,285000.0,3.171875,2.3697955637342394E-9,285000.0,93.92456140350878,93.92456140350878,-404.2224810716366,0.0,?,?,?,285000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,290000.0,3.21875,2.404817173050509E-9,290000.0,93.9503448275862,93.9503448275862,-393.91891891891737,0.0,?,?,?,290000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,295000.0,3.28125,2.451512652138868E-9,295000.0,93.85322033898305,93.85322033898305,-404.53533667223167,0.0,?,?,?,295000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,300000.0,3.328125,2.4865342614551377E-9,300000.0,93.88666666666666,93.88666666666666,-406.90989496959855,0.0,?,?,?,300000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,305000.0,3.375,2.5215558707714073E-9,305000.0,93.92950819672132,93.92950819672132,-397.7150537634403,0.0,?,?,?,305000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,310000.0,3.4375,2.5682513498597665E-9,310000.0,93.98032258064516,93.98032258064516,-388.7637506547921,0.0,?,?,?,310000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,315000.0,3.484375,2.603272959176036E-9,315000.0,93.89174603174604,93.89174603174604,-394.6272493573267,0.0,?,?,?,315000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,320000.0,3.546875,2.6499684382643953E-9,320000.0,93.905625,93.905625,-393.72151898734205,0.0,?,?,?,320000.0,2888.0
